Total Sales Gross,1920.00
VAT,0.00
Total Sales Net,1920.00
Total Commissions,-192.00
Balance,1728.00
Upwork Global Inc is the agent of payment for this invoice. Payment references: TT670120364, TT667892524, TT665690758, TT663493625

Sales
Date,Ref ID,Invoice Date,Invoice Number,Amount
"2024-03-01",670120454,"2024-02-25 00:00:00",T670120364,504.00
"2024-02-23",667892623,"2024-02-18 00:00:00",T667892524,288.00
"2024-02-16",665690838,"2024-02-11 00:00:00",T665690758,576.00
"2024-02-09",663493684,"2024-02-04 00:00:00",T663493625,552.00

Commissions
Date,Ref ID,Invoice Date,Invoice Number,Amount
"2024-03-01",670120471,"2024-02-25 00:00:00",T670120471,-50.40
"2024-02-23",667892646,"2024-02-18 00:00:00",T667892646,-28.80
"2024-02-16",665690867,"2024-02-11 00:00:00",T665690867,-57.60
"2024-02-09",663493707,"2024-02-04 00:00:00",T663493707,-55.20
